Code,1100450318,Category Code,Unit,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6
6161100605060 ,SUNLIGHT BAR SOAP 80 G,SOAPS AND DETERGENTS,WRAP,18,20,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161100600270 ,SUNLIGHT BAR SOAP 175 G,SOAPS AND DETERGENTS,WRAP,36,40,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161100600935 ,SUNLIGHT BAR SOAP 50 G,SOAPS AND DETERGENTS,WRAP,13,14,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161100601031 ,ROYCO CUBE BEEF FLAVOUR 4 G,SEASONING,WRAP,2,2.5,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161100609426 ,ROYCO MCHUZI MIX BEEF FLAVOUR 10 G,SEASONING,PACK,4.4,5,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161100600362 ,ROYCO CHICKEN CUBES (6),SEASONING,PACK,35,45,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161100600249 ,KNORR BEEF CHILLI CUBES (6),SEASONING,PACK,15.4,20,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161109723833 ,SUNLIGHT TURBO LEMONDISH WASHING LIQUID 750 ML,CLEANING,BOTTLE,183,225,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161100605534 ,ROYCO MCHUZI MIX CHICKEN FLAVOUR 200 G,SEASONING,JAR,89,100,,VAT @ 16%,INCLUSIVE,CLEANING,,,,,,,
6161100600386 ,ROYCO MCHUZI MIX SPICY BEEF FLAVOUR 2 KG,SEASONING,JAR,,,,VAT @ 16%,INCLUSIVE,SEASONING,,,,,,,
6162006602771 ,SUNLIGHT BAR SOAP 900 G,SOAPS AND DETERGENTS,WRAP,,,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6161109723673 ,SUNLIGHT BAR SOAP 700 G,SOAPS AND DETERGENTS,WRAP,107,120,,VAT @ 16%,INCLUSIVE,SOAPS,,,,,,,
6161100605459 ,ROYCO MCHUZI MIX BEEF FLAVOUR 500 G,SEASONING,JAR,,,,VAT @ 16%,INCLUSIVE,SEASONING,,,,,,,
